chemical,pct
Water,96.83856964673299
Crystalline silica (sand),95.2146413804618
Petroleum distillates (carrier fluid),76.73269757712063
Hydrochloric acid,74.78810854342424
Trade secret / undisclosed,70.99763310122667
Methanol,68.72305320120604
Isopropanol,42.209858477131434
Ethylene glycol,41.4801465316585
Sodium chloride (salt),40.14446921558421
Glutaraldehyde (biocide),37.14361477494819
Ethanol,36.00092318873317
Guar gum (thickener),35.46272379960912
Acetic acid (vinegar acid),33.043772895571635
Sodium hydroxide (lye),32.41129040178352
Ammonium persulfate,32.230090060007264
